Name,ID
Manchester United,1
Barcelona,2
Manchester City,3
Chelsea,4
Liverpool,5
Arsenal,6
Real Mardrid,7
Brazil,8
Bologana,9
Empoli,10
Genoa,11
Napoli,12
Parma,13
Torino,14
South Hampton,15
Crystal Place,16
Cardiff City,17
Fulham,18
Everton,19
AC Milan,20
Angers,21
AS Roma,22
Atlanta,23
Bristol,24
Derby,25
